cube interval (cm),tank h cm,tank r cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
5.5,124.0,74.0,9.0,8.0,5.5,8.18,0.98319,0.0001,88.95
6.0,124.0,74.0,9.0,8.0,6.0,6.18,0.98541,0.00012,89.1
6.5,124.0,74.0,9.0,8.0,6.5,4.18,0.98697,0.00012,89.24
7.0,124.0,74.0,9.0,8.0,7.0,2.18,0.98847,0.00012,89.36
7.5,124.0,74.0,9.0,8.0,7.5,0.18,0.9893,0.00013,89.46
8.0,127.63833751458316,74.0,9.0,8.0,8.0,0.0,0.9907,0.00012,89.58
8.5,131.63833751458316,74.0,9.0,8.0,8.5,0.0,0.99229,0.00013,89.71
9.0,135.63833751458316,74.0,9.0,8.0,9.0,0.0,0.9929,0.00013,89.81
9.5,139.63833751458316,74.0,9.0,8.0,9.5,0.0,0.9941,0.00011,89.93
10.0,143.63833751458316,74.0,9.0,8.0,10.0,0.0,0.99472,0.00012,90.01
10.5,147.63833751458316,74.0,9.0,8.0,10.5,0.0,0.99533,0.00013,90.13
11.0,151.63833751458316,74.0,9.0,8.0,11.0,0.0,0.99558,0.00012,90.19
11.5,155.63833751458316,74.0,9.0,8.0,11.5,0.0,0.99542,0.00013,90.27
12.0,159.63833751458316,74.0,9.0,8.0,12.0,0.0,0.99564,0.00011,90.35
12.5,163.63833751458316,74.0,9.0,8.0,12.5,0.0,0.99553,0.00013,90.4
13.0,167.63833751458316,74.0,9.0,8.0,13.0,0.0,0.9952,0.00013,90.48
13.5,171.63833751458316,74.0,9.0,8.0,13.5,0.0,0.99468,0.00013,90.53
14.0,175.63833751458316,74.0,9.0,8.0,14.0,0.0,0.99415,0.00013,90.58
14.5,179.63833751458316,74.0,9.0,8.0,14.5,0.0,0.9935,0.00013,90.63
15.0,183.6383375145832,74.0,9.0,8.0,15.0,0.0,0.99259,0.00013,90.67
15.5,187.6383375145832,74.0,9.0,8.0,15.5,0.0,0.99187,0.00014,90.71
16.0,191.6383375145832,74.0,9.0,8.0,16.0,0.0,0.99083,0.00013,90.75
16.5,195.6383375145832,74.0,9.0,8.0,16.5,0.0,0.99022,0.00012,90.8
17.0,199.63833751458316,74.0,9.0,8.0,17.0,0.0,0.98889,0.00013,90.83
