idx chain a,tank h cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
9,119.8,9.0,8.0,8.66,0.01,0.93306,0.00022,90.49
10,119.8,10.0,9.0,7.07,0.02,0.94605,0.00019,90.21
11,119.8,11.0,10.0,5.8,0.03,0.9547399999999999,0.00023999999999999998,89.91
12,119.8,12.0,11.0,4.76,0.05,0.96039,0.00021,89.58
13,119.8,13.0,12.0,3.9,0.02,0.96368,0.00021,89.23
14,119.8,14.0,13.0,3.17,0.01,0.96497,0.00023,88.84
15,119.8,15.0,14.0,2.54,0.03,0.9651,0.00022,88.46
16,119.8,16.0,15.0,2.0,0.0,0.96366,0.00022,88.02
17,119.8,17.0,16.0,1.52,0.04,0.96201,0.00022,87.59
18,119.8,18.0,16.0,1.1,0.04,0.95831,0.00022,87.21
